                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.5597,                0.67123,                0.87678,                0.84129,                0.80363,                 0.8687,                0.42263,                 1.6794,                0.75398,                0.93274,              0.0098908,              0.0098908,              0.0098908
                     69,                 1.5285,                0.65203,                0.87778,                  0.815,                0.78723,                0.85354,                0.39404,                  1.774,                0.78512,                0.94015,              0.0098875,              0.0098875,              0.0098875
                     70,                 1.5378,                0.65968,                0.87139,                0.83021,                0.79211,                0.86188,                0.41103,                  1.735,                0.78837,                0.93887,              0.0098842,              0.0098842,              0.0098842
                     71,                   1.52,                0.64439,                0.88352,                0.83024,                0.79832,                0.85857,                 0.4011,                  1.789,                0.78329,                0.95155,              0.0098808,              0.0098808,              0.0098808
                     72,                 1.5258,                0.64708,                0.87542,                0.84969,                 0.7859,                0.86761,                0.41083,                 1.7457,                0.75644,                0.94485,              0.0098774,              0.0098774,              0.0098774
                     73,                  1.509,                0.64135,                0.87291,                0.82448,                0.78369,                0.85211,                0.39321,                  1.804,                0.81827,                0.95529,              0.0098739,              0.0098739,              0.0098739
                     74,                 1.4857,                0.63184,                0.87145,                0.84132,                0.78963,                0.85634,                0.41037,                 1.7143,                0.80544,                0.93351,              0.0098704,              0.0098704,              0.0098704
                     75,                 1.4735,                0.63461,                0.87221,                0.83928,                0.81014,                0.86705,                0.41949,                 1.7102,                0.77851,                0.93399,              0.0098668,              0.0098668,              0.0098668
                     76,                 1.4842,                0.62964,                0.87408,                 0.8187,                0.78856,                0.84616,                0.39088,                 1.7848,                0.79298,                0.94534,              0.0098632,              0.0098632,              0.0098632
                     77,                 1.4761,                0.62653,                0.87489,                0.84346,                0.79566,                0.87415,                0.42211,                 1.6906,                0.76956,                0.92732,              0.0098596,              0.0098596,              0.0098596
                     78,                 1.4797,                0.62776,                0.87073,                0.82386,                0.80651,                0.86158,                0.40871,                 1.7246,                0.77576,                0.93671,              0.0098559,              0.0098559,              0.0098559
                     79,                 1.4646,                0.63229,                0.86023,                0.83611,                0.79832,                0.86404,                0.41614,                 1.7202,                0.74356,                0.93741,              0.0098521,              0.0098521,              0.0098521
                     80,                 1.4178,                  0.607,                0.87035,                0.83268,                 0.7853,                 0.8549,                0.40211,                 1.7589,                0.79203,                 0.9402,              0.0098483,              0.0098483,              0.0098483
                     81,                 1.4298,                0.61274,                0.86463,                0.83504,                0.78086,                0.85793,                  0.416,                 1.7047,                0.82615,                0.93797,              0.0098445,              0.0098445,              0.0098445
                     82,                 1.4424,                0.61643,                0.86556,                0.82294,                0.79255,                0.84937,                0.40268,                 1.7461,                0.80132,                0.94499,              0.0098406,              0.0098406,              0.0098406
                     83,                 1.3918,                0.60303,                0.85549,                0.83584,                0.79443,                0.86387,                0.41667,                  1.694,                0.78372,                0.93445,              0.0098367,              0.0098367,              0.0098367
                     84,                 1.4352,                0.61604,                0.86137,                0.82687,                0.77128,                0.84533,                0.38932,                 1.7844,                0.81597,                 0.9482,              0.0098327,              0.0098327,              0.0098327
                     85,                 1.4307,                0.60797,                0.86336,                0.82804,                0.79255,                0.85829,                0.41675,                 1.6967,                0.80017,                0.93032,              0.0098286,              0.0098286,              0.0098286
                     86,                 1.4085,                0.60448,                0.85494,                0.80992,                0.76862,                0.82886,                0.38218,                 1.7827,                0.82004,                0.94531,              0.0098246,              0.0098246,              0.0098246
                     87,                 1.4544,                0.62169,                0.85827,                0.83291,                0.79787,                0.85951,                0.41152,                 1.7106,                0.77368,                0.93447,              0.0098204,              0.0098204,              0.0098204
                     88,                 1.3641,                0.59138,                0.85478,                0.83944,                0.76941,                0.84169,                0.39416,                 1.7813,                0.81155,                0.94751,              0.0098163,              0.0098163,              0.0098163
                     89,                 1.4187,                0.59949,                0.86074,                0.83531,                0.79585,                0.85568,                0.40376,                 1.7467,                0.80398,                0.94332,               0.009812,               0.009812,               0.009812
                     90,                 1.4116,                0.60263,                0.85818,                0.84241,                0.79141,                0.86123,                0.41816,                 1.7007,                 0.7672,                 0.9378,              0.0098078,              0.0098078,              0.0098078
                     91,                 1.3989,                0.59948,                0.85253,                 0.8321,                0.77083,                0.84505,                0.39368,                 1.7786,                0.78935,                0.94938,              0.0098035,              0.0098035,              0.0098035
                     92,                 1.3792,                0.59373,                0.85816,                0.82882,                0.82225,                0.86571,                0.42207,                 1.6875,                0.77936,                0.93258,              0.0097991,              0.0097991,              0.0097991
                     93,                 1.3456,                0.57817,                0.85812,                0.83052,                0.80367,                0.85547,                0.40397,                 1.7373,                0.78235,                0.93972,              0.0097947,              0.0097947,              0.0097947
                     94,                 1.3726,                0.58911,                0.84956,                 0.8424,                0.80319,                0.86425,                0.41561,                 1.7108,                0.74903,                0.93876,              0.0097902,              0.0097902,              0.0097902
                     95,                 1.3422,                0.57767,                0.85804,                0.82668,                0.79654,                0.85416,                0.40412,                 1.7395,                0.78391,                0.94153,              0.0097857,              0.0097857,              0.0097857
                     96,                 1.3307,                0.57592,                0.85328,                0.84343,                0.80408,                 0.8638,                0.41361,                 1.7325,                0.76408,                0.94451,              0.0097812,              0.0097812,              0.0097812
                     97,                 1.3529,                0.58136,                0.84916,                0.84624,                0.79743,                0.85767,                0.41011,                 1.6979,                0.78631,                0.93671,              0.0097766,              0.0097766,              0.0097766
                     98,                 1.3223,                 0.5781,                0.84567,                0.85287,                0.79388,                0.86663,                0.41159,                 1.7306,                0.77184,                0.94094,              0.0097719,              0.0097719,              0.0097719
                     99,                 1.3446,                0.57825,                0.85094,                0.84334,                0.80142,                0.86569,                0.42006,                 1.6933,                0.76219,                 0.9351,              0.0097672,              0.0097672,              0.0097672
                    100,                 1.3102,                0.56777,                0.84983,                0.83709,                0.82358,                0.88062,                0.42172,                  1.715,                0.72664,                0.93804,              0.0097625,              0.0097625,              0.0097625
                    101,                 1.3292,                0.57543,                0.84862,                0.83414,                0.80924,                0.86816,                0.41578,                  1.729,                0.72519,                0.94313,              0.0097577,              0.0097577,              0.0097577
                    102,                 1.3154,                0.58904,                0.84643,                0.83116,                0.81171,                 0.8775,                0.42443,                 1.6818,                0.70551,                 0.9362,              0.0097529,              0.0097529,              0.0097529
                    103,                 1.3377,                0.57789,                0.84429,                0.83126,                 0.7961,                0.85906,                0.40276,                 1.7548,                 0.7639,                0.94672,               0.009748,               0.009748,               0.009748
                    104,                 1.2977,                0.56321,                0.84414,                0.82247,                0.79787,                0.86035,                0.41582,                 1.6964,                0.78772,                0.93716,              0.0097431,              0.0097431,              0.0097431
                    105,                 1.3088,                0.56512,                0.84506,                0.82321,                 0.7905,                 0.8473,                0.39947,                 1.7711,                0.78126,                0.95216,              0.0097381,              0.0097381,              0.0097381
                    106,                 1.2599,                0.54733,                0.84361,                0.84139,                0.79713,                0.85702,                0.41616,                 1.6945,                0.80247,                0.93557,              0.0097331,              0.0097331,              0.0097331
                    107,                 1.2781,                  0.551,                0.83893,                0.82515,                 0.7828,                 0.8423,                0.40159,                 1.7545,                0.78342,                0.94618,              0.0097281,              0.0097281,              0.0097281
                    108,                 1.2791,                0.55862,                0.83778,                0.84059,                0.78302,                0.85367,                0.41326,                 1.7179,                0.77003,                0.93858,               0.009723,               0.009723,               0.009723
                    109,                 1.2749,                0.55785,                0.84208,                0.82029,                0.79518,                0.85296,                0.40545,                 1.7441,                0.78169,                0.94641,              0.0097178,              0.0097178,              0.0097178
                    110,                 1.2589,                0.54856,                0.83809,                0.83973,                0.80009,                0.86532,                0.42173,                 1.6908,                0.74907,                0.93918,              0.0097126,              0.0097126,              0.0097126
                    111,                 1.2681,                0.54704,                0.84311,                0.84264,                0.78094,                0.84816,                0.40411,                 1.7476,                 0.7761,                0.94694,              0.0097074,              0.0097074,              0.0097074
                    112,                 1.2394,                0.54292,                0.83679,                0.83173,                0.80452,                0.86245,                 0.4137,                 1.7113,                0.76135,                0.94362,              0.0097021,              0.0097021,              0.0097021
                    113,                 1.2649,                0.55123,                0.83853,                0.84463,                0.78147,                0.85298,                0.40942,                 1.7409,                0.78755,                0.94835,              0.0096967,              0.0096967,              0.0096967
                    114,                 1.2194,                0.53449,                0.83949,                0.85787,                0.80262,                0.86317,                0.41157,                 1.7189,                0.77089,                0.94037,              0.0096914,              0.0096914,              0.0096914
                    115,                 1.2592,                0.55089,                0.83439,                0.83649,                0.79344,                0.85646,                0.40188,                 1.7622,                0.74759,                0.95438,              0.0096859,              0.0096859,              0.0096859
                    116,                 1.1945,                0.52679,                0.83868,                0.84182,                 0.8094,                0.86182,                0.41672,                 1.6944,                0.76265,                0.94228,              0.0096804,              0.0096804,              0.0096804
                    117,                 1.2416,                0.53988,                 0.8341,                0.83154,                0.78109,                0.84515,                0.39834,                 1.7562,                0.76524,                0.95227,              0.0096749,              0.0096749,              0.0096749
                    118,                 1.2146,                0.53792,                0.83568,                0.83996,                0.78945,                0.85535,                0.41215,                 1.6991,                0.76935,                0.94204,              0.0096694,              0.0096694,              0.0096694
                    119,                 1.1842,                0.53034,                0.83437,                0.81902,                0.77431,                0.84038,                 0.3905,                 1.7817,                0.76387,                0.95403,              0.0096638,              0.0096638,              0.0096638
                    120,                 1.2176,                0.52944,                0.83071,                0.82089,                0.79388,                 0.8469,                0.39917,                 1.7534,                0.77489,                0.95114,              0.0096581,              0.0096581,              0.0096581
                    121,                 1.2227,                0.53758,                0.83078,                0.81833,                0.78271,                0.84409,                0.39739,                 1.7698,                 0.7857,                0.94989,              0.0096524,              0.0096524,              0.0096524
                    122,                 1.2199,                0.53492,                0.83331,                0.81529,                0.80009,                0.85212,                0.40983,                 1.7045,                0.77325,                0.94259,              0.0096466,              0.0096466,              0.0096466
                    123,                 1.2088,                0.52742,                0.83423,                0.83274,                0.77482,                0.84613,                0.40244,                 1.7369,                0.77788,                  0.945,              0.0096409,              0.0096409,              0.0096409
                    124,                  1.173,                0.51365,                0.83141,                0.82579,                0.80686,                0.85972,                0.41208,                 1.7159,                0.77028,                0.94575,               0.009635,               0.009635,               0.009635
                    125,                 1.1788,                0.51249,                0.83145,                0.83108,                0.79211,                0.85896,                0.40565,                 1.7473,                0.77036,                0.95239,              0.0096291,              0.0096291,              0.0096291
                    126,                 1.1546,                0.50563,                0.82719,                0.81677,                 0.8101,                0.86008,                0.41289,                 1.7208,                0.75589,                0.94917,              0.0096232,              0.0096232,              0.0096232
                    127,                 1.1477,                0.50273,                0.82987,                0.83783,                0.80807,                0.86839,                0.41069,                 1.7309,                0.76149,                0.95116,              0.0096172,              0.0096172,              0.0096172
                    128,                  1.175,                0.51746,                0.82694,                0.82598,                0.80373,                0.85919,                0.41172,                 1.7321,                0.76836,                0.94983,              0.0096112,              0.0096112,              0.0096112
                    129,                  1.184,                0.51617,                0.82864,                0.81699,                0.80734,                0.85774,                0.40557,                 1.7564,                0.77784,                0.95472,              0.0096051,              0.0096051,              0.0096051
                    130,                 1.1529,                0.50656,                0.83045,                 0.8465,                0.79255,                0.86368,                0.41499,                  1.706,                0.76534,                0.94595,               0.009599,               0.009599,               0.009599
                    131,                 1.1261,                0.49892,                 0.8239,                0.83738,                0.78103,                0.85354,                0.40368,                 1.7638,                0.77673,                0.95415,              0.0095929,              0.0095929,              0.0095929
                    132,                 1.1359,                0.50077,                0.82686,                0.82956,                0.79876,                0.85884,                0.40504,                 1.7401,                0.76086,                0.95621,              0.0095867,              0.0095867,              0.0095867
